x,y,yaw,steeringAngle,velocity,srate
-61.5012,-380.427,1.41767,0.0118826,-20,0.00265678
-61.8062,-382.404,1.40579,0.0120769,-20,0.00194371
-62.1348,-384.377,1.39371,0.0121988,-20,0.00121897
-62.4871,-386.345,1.38151,0.0122475,-20,0.000486906
-62.8634,-388.31,1.36927,0.0122227,-20,-0.000248083
-63.2637,-390.269,1.35704,0.0121245,-20,-0.000981583
-63.688,-392.224,1.34492,0.0119536,-20,-0.00170919
-64.1359,-394.173,1.33296,0.011711,-20,-0.00242652
-64.6071,-396.117,1.32125,0.011398,-20,-0.00312929
-65.101,-398.055,1.30985,0.0110167,-20,-0.00381326
-65.617,-399.987,1.29884,0.0105693,-20,-0.00447433
-66.1542,-401.913,1.28827,0.0100584,-20,-0.00510853
-66.7118,-403.834,1.27821,0.00948723,-20,-0.00571206
-67.2887,-405.749,1.26872,0.00909785,-20,-0.00389374
-67.8837,-407.659,1.25962,0.00869864,-20,-0.00399218
-68.496,-409.563,1.25092,0.00820668,-20,-0.00491952
-69.1249,-411.461,1.24272,0.00676452,-20,-0.0144217
-69.7694,-413.354,1.23595,0.0066844,-20,-0.000801165
-70.4266,-415.243,1.22927,0.00579924,-20,-0.00885158
-71.0965,-417.128,1.22347,0.00571403,-20,-0.00085212
-71.7772,-419.008,1.21775,0.00562677,-20,-0.000872653
-72.4687,-420.885,1.21213,0.00553766,-20,-0.000891034
-73.1708,-422.758,1.20659,0.00544691,-20,-0.000907495
-73.8832,-424.627,1.20114,0.00535466,-20,-0.000922482
-74.6058,-426.491,1.19579,0.00526114,-20,-0.000935244
-75.3384,-428.352,1.19053,0.00431489,-20,-0.00946253
-76.0807,-430.21,1.18621,0.00422,-20,-0.000948911
-76.831,-432.064,1.18199,0.00326821,-20,-0.00951781
-77.5892,-433.914,1.17872,0.00232253,-20,-0.00945688
-78.3534,-435.762,1.1764,0.00221949,-20,-0.00103036
-79.1219,-437.609,1.17418,0.00129594,-20,-0.00923552
-79.8945,-439.454,1.17289,0.000391286,-20,-0.00904653
-80.6695,-441.297,1.17249,-0.000489972,-20,-0.00881258
-81.4452,-443.141,1.17298,-0.0120547,-20,-0.115648
-82.22,-444.985,1.18504,-0.0120547,-20,0
-82.9725,-446.838,1.1971,-0.0120547,-20,0
-83.7027,-448.7,1.20915,-0.0120547,-20,0
-84.4103,-450.57,1.22121,-0.0120547,-20,0
-85.0953,-452.449,1.23326,-0.0120547,-20,0
-85.7576,-454.337,1.24532,-0.0304606,-20,-0.184058
-86.3972,-456.232,1.27579,-0.0340483,-20,-0.0358772
-86.9787,-458.145,1.30985,-0.0363933,-20,-0.0234503
-87.4947,-460.077,1.34626,-0.0373902,-20,-0.00996911
-87.94,-462.027,1.38367,-0.0370185,-20,0.00371729
-88.3121,-463.992,1.4207,-0.0353468,-20,0.0167167
-88.6111,-465.97,1.45606,-0.0178065,-20,0.175403
-88.8401,-467.957,1.47387,0.0046422,-20,0.224487
-88.9642,-469.234,1.47089,0.0086861,-12.8299,0.040439
-89.1637,-471.224,1.46221,0.0271557,-20,0.184696
-89.3142,-472.604,1.44335,0.0313787,-13.8838,0.04223
-89.4946,-474.012,1.42107,0.0346801,-14.1946,0.0330144
-89.6991,-475.367,1.39729,0.0363021,-13.7092,0.0162194
-89.9243,-476.652,1.3736,0.0365047,-13.0449,0.00202616
-90.1663,-477.863,1.35105,0.0356957,-12.3502,-0.00808954
-90.4192,-478.996,1.33033,0.034284,-11.6043,-0.0141178
-90.6905,-480.102,1.3108,0.0323321,-11.3907,-0.0195188
-90.9587,-481.111,1.29392,0.0304047,-10.4341,-0.0192738
-91.2254,-482.049,1.27909,0.0284926,-9.75525,-0.0191212
-91.4949,-482.946,1.26573,0.0265976,-9.37118,-0.0189498
-91.756,-483.775,1.25417,0.0248664,-8.6922,-0.0173124
-92.0127,-484.559,1.24392,0.0233033,-8.24647,-0.0156312
-92.2757,-485.335,1.23437,0.0216909,-8.1902,-0.0161232
-92.5177,-486.027,1.22642,0.0203356,-7.33049,-0.0135538
-92.753,-486.683,1.21933,0.0192061,-6.97055,-0.0112944
-92.9898,-487.329,1.21273,0.0181091,-6.878,-0.0109698
-93.2093,-487.915,1.20705,0.017044,-6.26407,-0.010651
-93.4226,-488.476,1.20195,0.016103,-5.99451,-0.00940997
-93.6262,-489.002,1.1974,0.0154064,-5.64568,-0.00696611
-93.8239,-489.507,1.19322,0.0148208,-5.42,-0.00585624
-94.0237,-490.011,1.18921,0.0142369,-5.42,-0.00583885
-94.2075,-490.469,1.18569,0.0135343,-4.93488,-0.00702638
-94.3844,-490.905,1.18251,0.0128094,-4.70974,-0.00724916
-94.554,-491.32,1.17964,0.0122909,-4.48044,-0.00518454
-94.7172,-491.716,1.17701,0.0119208,-4.28116,-0.00370138
-94.863,-492.066,1.17474,0.0117337,-3.8,-0.00187087
-95.0096,-492.417,1.17251,0.0115504,-3.8,-0.00183287
-95.157,-492.767,1.17032,0.0113712,-3.8,-0.00179252
-95.3052,-493.117,1.16816,0.0111962,-3.8,-0.00174983
-95.4541,-493.467,1.16603,0.0110257,-3.8,-0.00170469
-95.6112,-493.834,1.16383,0.0106342,-3.99022,-0.0039149
-95.7437,-494.141,1.16205,0.00998558,-3.34647,-0.00648627
-95.8669,-494.426,1.1605,0.00950954,-3.10127,-0.00476043
-95.9819,-494.69,1.15913,0.00922886,-2.88218,-0.00280683
-96.0903,-494.938,1.15788,0.00905073,-2.70927,-0.00178125
-96.1898,-495.165,1.15676,0.00895302,-2.48019,-0.000977051
-96.2703,-495.348,1.15586,0.00895302,-2,0
-96.3509,-495.531,1.15497,0.00895302,-2,0
-96.4289,-495.708,1.1541,0.00895302,-1.92986,0
-96.5041,-495.878,1.15327,0.00895302,-1.85892,0
-96.5767,-496.042,1.15247,0.00895302,-1.79063,0
-96.6468,-496.199,1.1517,0.00895302,-1.72488,0
-96.7144,-496.351,1.15095,0.00895302,-1.66158,0
-96.7797,-496.497,1.15024,0.00895302,-1.60062,0
-96.8426,-496.638,1.14955,0.00895302,-1.54193,0
-96.9033,-496.774,1.14888,0.00895302,-1.48541,0
