step,x_exact,y_exact,yaw_exact,steeringAngle_exact,x_approx,y_approx,yaw_approx,steeringAngle_approx,error
266,17.8574,12.6205,39.6512,0.575736,18.8153,11.9327,39.5879,0.575736,0.822859
267,17.4294,13.2364,39.8773,0.542554,18.42,12.5922,39.8136,0.542554,0.817427
268,16.8826,13.7497,40.0868,0.509372,17.8978,13.1529,40.0228,0.509372,0.806034
269,16.2474,14.1485,40.2802,0.476191,17.2793,13.6012,40.2159,0.476191,0.789628
270,15.5537,14.4336,40.4507,0.426789,16.5965,13.9365,40.3858,0.426789,0.769939
271,14.8254,14.6128,40.5994,0.377388,15.8739,14.1662,40.534,0.377388,0.747577
272,14.0803,14.698,40.727,0.327986,15.1301,14.3017,40.6612,0.327986,0.723072
273,13.3303,14.7028,40.8342,0.278584,14.3778,14.3566,40.7682,0.278584,0.696868
274,12.5827,14.6421,40.9217,0.229183,13.6251,14.3458,40.8554,0.229183,0.669348
275,11.8411,14.5307,40.9899,0.179781,12.8759,14.2838,40.9233,0.179781,0.640848
276,11.1058,14.3829,41.039,0.13038,12.1315,14.1853,40.9723,0.13038,0.611669
277,10.3753,14.2128,41.0695,0.0809781,11.391,14.0643,41.0027,0.0809781,0.582089
278,9.64691,14.0341,41.0813,0.0315766,10.6522,13.9346,41.0144,0.0315766,0.552377
279,8.91928,13.8523,41.0856,0.0113747,9.91405,13.8018,41.0187,0.0113747,0.5226
280,8.19106,13.6729,41.0823,-0.00882721,9.17546,13.6715,41.0154,-0.00882721,0.492887
281,7.46092,13.5014,41.0714,-0.0290291,8.43545,13.5492,41.0045,-0.0290291,0.511156
282,6.72775,13.3434,41.0529,-0.049231,7.69323,13.4405,40.986,-0.049231,0.531294
